frame,player_id,team,jersey_number,average_color,x_pos,y_pos,distance_moved_since_last_frame,total_distance,speed_fps
140,1,team_1,1,"(100, 96, 107)",34.112138748168945,-17.786261240641277,0,0.0,0
140,65,referee,REF,"(139, 150, 156)",25.849313735961914,-14.949674606323242,0,0.0,0
140,118,team_1,28,"(161, 158, 168)",35.3048038482666,-18.01819313897027,0,0.0,0
140,52,team_2,19,"(124, 125, 129)",28.70713233947754,-16.186292860243054,0,0.0,0
140,45,team_1,18,"(112, 110, 117)",25.11526107788086,-14.882771174112955,0,0.0,0
140,55,referee,REF,"(117, 118, 124)",27.447795867919922,-15.515626483493381,0,0.0,0
140,54,team_1,20,"(131, 132, 137)",28.76206398010254,-16.109914143880207,0,0.0,0
140,29,team_2,13,"(112, 111, 119)",35.28104782104492,-18.121131473117405,0,0.0,0
140,61,unknown,26,"(129, 138, 148)",22.914419174194336,-14.181762271457249,0,0.0,0
140,148,unknown,148,"(186, 190, 187)",28.739948272705078,-16.259529961480034,0,0.0,0
140,114,unknown,114,"(80, 88, 132)",-20.0,16.645833333333332,0,0.0,0
140,126,unknown,29,"(115, 113, 113)",32.30461120605469,-17.41219647725423,0,0.0,0
140,88,unknown,88,"(69, 75, 109)",-20.0,-16.52777777777778,0,0.0,0
140,150,unknown,150,"(185, 188, 186)",28.06401252746582,-16.03369755215115,0,0.0,0
140,149,unknown,149,"(178, 180, 179)",35.043325424194336,-18.26364983452691,0,0.0,0
140,151,unknown,151,"(212, 213, 218)",25.697832107543945,-14.982286877102322,0,0.0,0
140,153,unknown,32,"(121, 128, 137)",22.960920333862305,-14.198670069376627,0,0.0,0
140,152,unknown,152,"(75, 83, 130)",20.0,16.645833333333332,0,0.0,0
140,147,unknown,147,"(74, 83, 135)",20.0,-16.52777777777778,0,0.0,0
141,135,unknown,31,"(110, 106, 117)",34.13216590881348,-17.794284608629013,0,0.0,0
141,65,referee,REF,"(134, 147, 154)",25.74845314025879,-14.921201917860243,0.10480245108727301,0.10480245108727301,3.1440735326181906
141,118,team_1,28,"(159, 156, 166)",35.2724552154541,-18.011146121554905,0.033107317911458586,0.033107317911458586,0.9932195373437576
141,147,unknown,147,"(74, 83, 133)",22.426776885986328,-16.964689254760742,2.465793521987787,2.465793521987787,73.97380565963361
141,54,team_1,20,"(126, 126, 133)",28.763761520385742,-16.087825563218857,0.022153713879304128,0.022153713879304128,0.6646114163791238
141,55,referee,REF,"(118, 119, 125)",27.33806610107422,-15.486159430609808,0.11361746757279746,0.11361746757279746,3.408524027183924
141,61,unknown,26,"(115, 122, 132)",22.857637405395508,-14.165283203125,0.05912468994440894,0.05912468994440894,1.7737406983322683
141,45,team_1,18,"(114, 113, 119)",25.095081329345703,-14.880216810438368,0.020340772471176993,0.020340772471176993,0.6102231741353098
141,29,team_2,13,"(120, 118, 126)",35.47140121459961,-18.18179490831163,0.199786052584633,0.199786052584633,5.99358157753899
141,126,unknown,29,"(121, 117, 119)",32.5840950012207,-17.501552369859482,0.2934206320347644,0.2934206320347644,8.802618961042931
141,153,goalie,32,"(119, 126, 135)",22.89102554321289,-14.183340284559462,0.07155616019928693,0.07155616019928693,2.146684805978608
141,88,unknown,88,"(69, 76, 113)",-11.470069885253906,-19.41879145304362,9.006534729463182,9.006534729463182,270.1960418838955
141,52,team_2,19,"(139, 138, 143)",28.793954849243164,-16.19527096218533,0.0872854771224168,0.0872854771224168,2.618564313672504
141,114,unknown,114,"(78, 87, 132)",-31.993675231933594,25.00182162390815,14.617482200479014,14.617482200479014,438.52446601437043
142,135,unknown,31,"(128, 125, 133)",34.15213584899902,-17.802282757229275,0.021512063872306315,0.021512063872306315,0.6453619161691895
142,126,unknown,29,"(141, 138, 139)",32.94978141784668,-17.618473052978516,0.38392317128009973,0.6773438033148641,11.517695138402992
142,61,unknown,26,"(105, 112, 121)",22.821931838989258,-14.154925240410698,0.03717761240292334,0.09630230234733228,1.1153283720877
142,55,referee,REF,"(121, 122, 128)",27.317209243774414,-15.482589085896809,0.021160242385049807,0.13477770995784727,0.6348072715514942
142,118,team_1,28,"(163, 160, 169)",35.50057411193848,-18.077343410915798,0.2375296024750996,0.2706369203865582,7.125888074252988
142,65,referee,REF,"(132, 145, 152)",25.69324493408203,-14.905616336398655,0.057365986252754284,0.16216843734002728,1.7209795875826286
142,45,team_1,18,"(117, 116, 122)",25.087556838989258,-14.877983093261719,0.007849041186635203,0.028189813657812195,0.23547123559905608
142,29,team_2,13,"(124, 123, 132)",35.78411102294922,-18.282276153564453,0.32845685391784313,0.5282429065024761,9.853705617535294
142,54,team_1,20,"(125, 126, 130)",28.867673873901367,-16.136470158894856,0.11473479812871773,0.13688851200802185,3.442043943861532
142,147,unknown,147,"(74, 82, 132)",22.343006134033203,-16.970752716064453,0.08398990680893506,2.549783428796722,2.5196972042680517
142,153,goalie,32,"(111, 116, 125)",22.845687866210938,-14.170136133829752,0.047221335775540274,0.1187774959748272,1.4166400732662083
142,114,unknown,114,"(76, 85, 135)",35.85324287414551,-26.883377075195312,85.41240039091778,100.0298825913968,2562.3720117275334
143,135,unknown,31,"(137, 134, 142)",34.11089897155762,-17.789536158243816,0.043161972230351696,0.06467403610265801,1.294859166910551
143,114,unknown,114,"(76, 86, 135)",36.10995292663574,-27.069085439046223,0.3168400976103261,100.34672268900712,9.505202928309783
143,126,unknown,29,"(154, 152, 153)",33.209877014160156,-17.700756708780926,0.2728008783597891,0.9501446816746533,8.184026350793673
143,118,team_1,28,"(166, 163, 172)",35.51168441772461,-18.075124104817707,0.011329793211634555,0.28196671359819275,0.33989379634903666
143,45,team_1,18,"(114, 112, 120)",25.02185821533203,-14.86016739739312,0.06807134617249978,0.09626115983031197,2.0421403851749935
143,55,referee,REF,"(125, 126, 131)",27.186899185180664,-15.44699732462565,0.135083251519534,0.26986096147738126,4.05249754558602
143,52,team_2,19,"(125, 125, 129)",28.985090255737305,-16.265553792317707,0.2036477837519894,0.2909332608744062,6.109433512559682
143,29,team_2,13,"(118, 117, 125)",35.78982353210449,-18.281915876600475,0.005723858867919073,0.5339667653703951,0.1717157660375722
143,65,referee,REF,"(141, 153, 158)",25.584535598754883,-14.874931547376844,0.11295696465726858,0.27512540199729585,3.3887089397180574
143,54,team_1,20,"(120, 120, 124)",28.87791633605957,-16.141099717881943,0.011240144459798708,0.14812865646782056,0.33720433379396125
143,152,unknown,152,"(79, 88, 131)",0.017385482788085938,0.3885118696424696,25.760539282345622,25.760539282345622,772.8161784703686
144,135,unknown,31,"(129, 126, 136)",33.96751403808594,-17.748796039157444,0.14906037853785897,0.21373441464051698,4.4718113561357695
144,45,team_1,18,"(112, 110, 118)",24.90870475769043,-14.829860899183485,0.11714174665754441,0.21340290648785637,3.5142523997263324
144,52,team_2,19,"(129, 129, 134)",29.004831314086914,-16.278815587361652,0.023782022465515723,0.31471528333992194,0.7134606739654716
144,118,team_1,28,"(163, 160, 170)",35.352439880371094,-18.02145004272461,0.1680468018693273,0.45001351546752005,5.041404056079819
144,55,referee,REF,"(124, 126, 131)",26.990089416503906,-15.391885757446289,0.20438045377081485,0.4742414152481961,6.131413613124446
144,65,referee,REF,"(135, 147, 152)",25.395584106445312,-14.830318450927734,0.1941468382971796,0.46927224029447545,5.824405148915388
144,54,team_1,20,"(123, 121, 126)",28.774099349975586,-16.112162272135418,0.10777449775292522,0.2559031542207458,3.2332349325877567
144,29,team_2,13,"(113, 110, 120)",35.664329528808594,-18.243286980523003,0.13130474658364472,0.6652715119540398,3.9391423975093414
144,114,unknown,114,"(77, 86, 135)",50.77436447143555,-38.05297893948025,18.321868965368534,118.66859165437566,549.656068961056
144,126,unknown,29,"(154, 152, 153)",33.180837631225586,-17.689714219835068,0.031068027348706985,0.9812127090233602,0.9320408204612095
144,147,unknown,147,"(74, 82, 132)",23.35555076599121,-17.760811275906033,1.2843049325163896,3.8340883613131114,38.52914797549169
145,135,unknown,31,"(122, 118, 130)",33.94701957702637,-17.746007495456272,0.020683300270884945,0.23441771491140193,0.6204990081265483
145,52,team_2,19,"(130, 129, 132)",29.011716842651367,-16.282958772447373,0.008035949618211486,0.3227512329581334,0.2410784885463446
145,126,unknown,29,"(150, 147, 148)",33.286685943603516,-17.722654342651367,0.11085538743971204,1.0920680964630722,3.3256616231913614
145,1,team_1,1,"(108, 105, 114)",35.55508613586426,-18.21382353040907,1.5049606889511113,1.5049606889511113,45.14882066853334
145,55,referee,REF,"(125, 126, 133)",26.834840774536133,-15.348836263020832,0.16110679626609595,0.635348211514292,4.8332038879828785
145,45,team_1,18,"(116, 113, 121)",24.832515716552734,-14.808824327256945,0.07903990984244565,0.292442816330302,2.3711972952733693
145,118,team_1,28,"(161, 157, 168)",35.20798683166504,-17.98067389594184,0.1500978928130694,0.6001114082805894,4.502936784392082
145,65,referee,REF,"(133, 145, 151)",25.23448944091797,-14.784703784518772,0.16742816087196224,0.6367004011664377,5.022844826158868
145,54,team_1,20,"(131, 128, 134)",28.77232551574707,-16.1145076751709,0.0029406467433364335,0.2588438009640822,0.08821940230009301
145,147,unknown,147,"(76, 85, 135)",26.805400848388672,-20.22202894422743,4.23781287952585,8.071901240838962,127.13438638577551
145,114,unknown,114,"(78, 87, 134)",2.8172969818115234,-1.4697678883870442,60.31758991383178,178.98618156820743,1809.5276974149535
146,135,unknown,31,"(122, 118, 130)",33.94701957702637,-17.746007495456272,0.0,0.23441771491140193,0.0
146,52,team_2,19,"(130, 129, 132)",29.011716842651367,-16.282958772447373,0.0,0.3227512329581334,0.0
146,126,unknown,29,"(150, 147, 148)",33.286685943603516,-17.722654342651367,0.0,1.0920680964630722,0.0
146,1,team_1,1,"(108, 105, 114)",35.55508613586426,-18.21382353040907,0.0,1.5049606889511113,0.0
146,55,referee,REF,"(125, 126, 133)",26.834840774536133,-15.348836263020832,0.0,0.635348211514292,0.0
146,45,team_1,18,"(116, 113, 121)",24.832515716552734,-14.808824327256945,0.0,0.292442816330302,0.0
146,118,team_1,28,"(161, 157, 168)",35.20798683166504,-17.98067389594184,0.0,0.6001114082805894,0.0
146,65,referee,REF,"(133, 145, 151)",25.244417190551758,-14.787513944837782,0.010317810514335697,0.6470182116807733,0.3095343154300709
146,54,team_1,20,"(131, 128, 134)",28.77232551574707,-16.1145076751709,0.0,0.2588438009640822,0.0
